Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2020-04-07,296,149,152,239,243,210,1094,112,547,621,*,42,516,*
2020-04-08,312,160,155,255,259,223,1166,122,575,700,*,43,586,*
2020-04-09,362,167,163,288,280,236,1251,137,607,747,*,43,667,*
2020-04-10,364,177,164,333,302,251,1314,144,662,799,*,43,712,*
2020-04-11,376,189,179,356,324,261,1387,148,707,856,5,43,753,6
2020-04-12,390,199,186,379,337,291,1449,151,758,915,5,43,803,6
2020-04-13,390,204,192,383,352,313,1486,163,784,932,5,45,812,6
2020-04-14,416,208,199,397,367,335,1575,168,822,989,5,45,826,6
2020-04-15,457,215,207,424,380,357,1661,180,873,1040,5,45,898,6
2020-04-16,503,220,207,446,400,389,1742,184,911,1107,5,45,937,6
2020-04-17,536,229,209,488,431,394,1794,187,934,1172,5,45,979,6
2020-04-18,560,231,222,514,451,432,1905,193,995,1239,5,45,1022,6
2020-04-19,586,237,229,532,509,464,1949,197,1022,1344,5,51,1056,6
2020-04-20,604,239,231,542,542,490,2020,198,1051,1399,6,51,1071,6
2020-04-21,623,240,231,561,562,519,2085,201,1076,1426,6,52,1084,6
2020-04-22,640,243,235,593,569,550,2174,211,1118,1515,6,54,1124,6
2020-04-23,653,248,235,619,604,602,2250,214,1155,1604,6,54,1159,6
2020-04-24,678,253,235,637,606,638,2311,214,1176,1684,6,54,1199,6
2020-04-25,692,258,237,653,655,700,2428,220,1187,1730,7,54,1224,6
2020-04-26,705,259,240,672,662,748,2479,225,1231,1785,7,54,1251,6
2020-04-27,721,269,243,681,680,771,2531,228,1265,1804,7,54,1261,6
2020-04-28,738,272,243,692,689,782,2604,232,1297,1832,7,54,1273,6
2020-04-29,745,279,244,712,717,813,2672,236,1329,1907,7,54,1313,6
2020-04-30,762,279,246,737,724,834,2759,242,1374,1980,7,54,1349,6
2020-05-01,778,281,249,750,747,866,2864,259,1400,2014,7,54,1379,6
2020-05-02,793,283,250,768,757,889,2939,288,1436,2065,7,54,1392,6
2020-05-03,799,284,250,776,788,898,2985,297,1454,2089,7,54,1410,6
2020-05-04,818,284,250,778,794,931,3029,299,1492,2113,7,54,1411,6
2020-05-05,825,284,254,784,802,946,3070,307,1520,2149,7,54,1429,6
2020-05-06,846,285,254,792,809,957,3203,310,1541,2200,7,54,1445,6
2020-05-07,853,286,254,801,818,973,3277,313,1576,2241,7,54,1465,6
2020-05-08,885,286,255,804,828,1001,3333,317,1628,2274,7,54,1471,6
2020-05-09,895,286,255,810,828,1035,3367,317,1635,2324,7,54,1486,6
2020-05-10,904,286,255,811,828,1050,3449,320,1660,2359,7,54,1497,6
2020-05-11,912,292,255,813,839,1078,3479,322,1693,2380,7,54,1497,6
2020-05-12,925,294,255,813,856,1102,3510,324,1715,2397,7,54,1505,6
2020-05-13,946,297,254,816,859,1123,3579,324,1721,2428,7,54,1515,6
2020-05-14,952,298,255,823,863,1142,3628,328,1762,2459,7,54,1540,6
2020-05-15,964,304,255,824,867,1152,3663,331,1781,2497,7,54,1555,6
2020-05-16,966,310,257,824,871,1181,3707,331,1812,2539,7,54,1582,6
2020-05-17,974,313,257,824,873,1189,3731,331,1828,2561,7,54,1589,6
2020-05-18,976,316,257,824,880,1200,3742,331,1840,2568,7,54,1593,6
2020-05-19,981,317,257,825,883,1206,3759,333,1853,2575,7,54,1599,6
2020-05-20,987,322,257,826,894,1216,3780,334,1867,2584,7,54,1617,6
2020-05-21,995,322,257,826,896,1218,3806,334,1892,2611,7,54,1632,6
2020-05-22,1001,322,257,826,909,1223,3841,335,1913,2634,7,54,1641,6
2020-05-23,1015,322,257,826,915,1223,3865,335,1922,2649,7,54,1645,6
2020-05-24,1019,322,258,826,917,1224,3876,335,1934,2665,7,54,1658,6
2020-05-25,1019,322,260,827,917,1245,3892,335,1944,2669,7,54,1659,6
2020-05-26,1023,323,260,828,918,1250,3898,336,1948,2675,7,54,1659,6
2020-05-27,1029,323,260,830,919,1256,3916,337,1957,2685,7,54,1661,6
2020-05-28,1035,323,260,830,919,1259,3934,337,1968,2691,7,54,1665,6
2020-05-29,1039,325,260,831,919,1269,3939,337,1974,2698,8,54,1668,6
2020-05-30,1058,325,260,834,924,1273,3943,337,1984,2706,8,54,1670,6
2020-05-31,1060,325,260,835,928,1274,3946,337,1987,2709,8,54,1671,6
2020-06-01,1061,325,260,836,931,1278,3949,338,1987,2714,8,54,1671,6
2020-06-02,1061,325,260,871,935,1281,3950,338,1995,2716,8,54,1671,6
2020-06-03,1066,325,260,876,942,1282,3954,339,1998,2723,8,54,1671,6
2020-06-04,1071,325,261,877,944,1283,3961,338,2002,2752,8,54,1671,6
2020-06-05,1076,326,261,877,946,1284,3968,338,2005,2760,8,54,1673,6
2020-06-06,1077,326,261,879,946,1284,3971,339,2007,2769,8,54,1676,6
2020-06-07,1079,326,261,879,946,1286,3981,339,2008,2772,8,54,1676,6
2020-06-08,1080,326,261,879,947,1286,3988,340,2013,2774,8,54,1677,6
2020-06-09,1081,326,261,879,948,1287,3990,340,2018,2777,8,54,1678,6
2020-06-10,1081,327,261,880,948,1287,3990,340,2021,2778,8,54,1684,6
2020-06-11,1082,327,261,882,948,1288,3995,341,2022,2783,8,54,1685,6
2020-06-12,1086,327,261,883,948,1288,4000,341,2028,2794,8,54,1685,6
2020-06-13,1087,327,261,884,950,1288,4004,341,2031,2803,8,54,1686,6
2020-06-14,1088,327,261,885,952,1294,4010,341,2035,2807,8,54,1687,6
2020-06-15,1243,345,274,926,1048,1405,4805,373,2671,3110,9,54,1760,7
2020-06-16,1243,345,274,926,1051,1405,4808,373,2674,3116,9,54,1760,7
2020-06-17,1245,345,274,928,1051,1409,4810,373,2678,3123,9,54,1760,7
2020-06-18,1245,345,274,928,1053,1410,4813,373,2681,3125,9,54,1760,7
2020-06-19,1248,345,284,928,1053,1410,4814,373,2685,3134,9,54,1760,7
2020-06-20,1249,345,284,928,1055,1410,4819,373,2698,3139,9,54,1760,7
2020-06-21,1250,346,284,928,1056,1412,4827,373,2704,3145,9,54,1761,7
2020-06-22,1250,346,285,928,1057,1412,4830,373,2712,3146,9,54,1761,7
2020-06-23,1251,346,285,928,1058,1413,4832,374,2715,3147,9,54,1763,7
2020-06-24,1251,346,285,928,1061,1413,4834,374,2715,3150,9,54,1764,7
2020-06-25,1252,345,285,930,1061,1414,4838,374,2716,3146,9,54,1765,7
2020-06-26,1253,345,285,929,1064,1417,4844,374,2717,3148,9,54,1767,7
2020-06-27,1253,345,285,930,1066,1418,4848,374,2720,3151,9,54,1768,7
2020-06-28,1253,345,285,930,1068,1419,4850,375,2722,3151,9,54,1768,7
2020-06-29,1255,345,285,930,1069,1419,4851,375,2723,3151,9,54,1768,7
2020-06-30,1255,345,290,930,1070,1419,4853,375,2724,3151,9,54,1769,7
2020-07-01,1255,345,291,930,1070,1421,4858,375,2724,3151,9,54,1769,7
2020-07-02,1255,345,292,930,1070,1423,4858,375,2726,3151,9,54,1769,7
2020-07-03,1256,345,292,932,1076,1423,4858,375,2727,3153,9,54,1769,7
2020-07-04,1256,345,293,932,1076,1425,4860,375,2728,3156,9,54,1771,7
2020-07-05,1257,345,294,932,1076,1426,4861,376,2730,3157,9,54,1772,7
2020-07-06,1257,345,295,932,1077,1426,4861,376,2731,3158,9,54,1772,7
2020-07-07,1257,345,295,932,1078,1426,4862,376,2731,3158,9,54,1772,7
2020-07-08,1257,345,295,932,1083,1427,4863,376,2731,3158,9,54,1772,7
2020-07-09,1257,345,296,932,1085,1427,4865,376,2731,3159,9,54,1772,7
2020-07-10,1258,345,298,933,1085,1429,4871,376,2733,3163,9,54,1772,7
2020-07-11,1258,345,299,933,1085,1429,4872,377,2734,3165,9,54,1773,7
2020-07-12,1258,345,299,933,1086,1430,4884,377,2736,3166,9,54,1775,7
2020-07-13,1258,345,299,933,1087,1431,4887,377,2737,3166,9,54,1775,7
2020-07-14,1259,345,299,933,1087,1432,4887,377,2738,3166,9,54,1775,7
2020-07-15,1260,345,299,933,1087,1432,4890,377,2739,3166,9,54,1775,7
2020-07-16,1260,345,299,933,1088,1432,4896,377,2742,3167,9,54,1775,7
2020-07-17,1262,345,299,937,1091,1433,4897,377,2743,3169,9,54,1778,7
2020-07-18,1263,346,300,937,1092,1435,4905,377,2744,3174,9,54,1779,7
2020-07-19,1266,346,300,936,1092,1440,4912,378,2747,3177,9,54,1781,7
2020-07-20,1267,346,300,936,1092,1440,4914,378,2748,3180,9,54,1781,7
2020-07-21,1269,346,300,937,1092,1440,4918,378,2762,3181,9,54,1781,7
2020-07-22,1270,346,300,938,1092,1440,4921,378,2765,3182,9,54,1782,7
2020-07-23,1272,346,300,939,1092,1441,4926,379,2769,3183,9,54,1783,7
2020-07-24,1273,346,300,939,1091,1442,4940,381,2770,3184,9,54,1784,7
2020-07-25,1274,347,300,940,1091,1445,4949,381,2778,3187,9,54,1785,7
2020-07-26,1274,347,300,940,1091,1445,4953,381,2778,3187,9,54,1785,7
2020-07-27,1275,347,300,940,1091,1445,4954,381,2779,3187,9,54,1785,7
2020-07-28,1275,347,300,941,1091,1445,4957,381,2779,3187,9,54,1785,7
2020-07-29,1275,347,301,941,1092,1446,4971,381,2779,3192,9,54,1785,7
2020-07-30,1275,347,301,943,1096,1448,4976,381,2780,3193,9,54,1787,7
2020-07-31,1276,347,302,946,1096,1451,4983,382,2784,3198,9,54,1792,7
2020-08-01,1277,347,302,946,1097,1457,4986,383,2784,3203,9,54,1793,7
2020-08-02,1277,347,303,947,1097,1470,4994,383,2785,3208,9,54,1795,7
2020-08-03,1277,347,303,947,1097,1481,5000,383,2785,3209,9,54,1795,7
2020-08-04,1277,347,304,947,1097,1496,5004,383,2785,3212,9,54,1795,7
2020-08-05,1278,347,304,948,1098,1532,5019,385,2788,3215,9,54,1797,7
2020-08-06,1278,347,305,948,1099,1570,5036,385,2790,3218,9,54,1801,7
2020-08-07,1279,347,305,952,1100,1597,5041,385,2792,3219,9,54,1803,7
2020-08-08,1280,348,305,953,1102,1636,5050,386,2794,3222,9,54,1804,7
2020-08-09,1282,348,305,953,1107,1664,5052,386,2797,3227,9,55,1806,7
2020-08-10,1283,348,305,954,1103,1682,5058,386,2798,3230,9,55,1809,7
2020-08-11,1283,349,305,957,1104,1709,5071,388,2799,3231,9,56,1811,7
2020-08-12,1285,349,305,957,1106,1733,5079,388,2801,3236,9,56,1815,7
2020-08-13,1286,350,305,959,1107,1759,5089,388,2801,3237,12,56,1817,7
2020-08-14,1286,350,305,964,1107,1787,5098,389,2813,3239,14,56,1823,7
2020-08-15,1286,350,305,964,1108,1812,5106,389,2821,3243,15,56,1827,7
2020-08-16,1287,350,305,964,1108,1826,5117,389,2824,3248,16,56,1835,7
2020-08-17,1288,350,305,966,1108,1839,5123,390,2824,3248,16,56,1838,7
2020-08-18,1290,350,305,967,1109,1846,5135,391,2830,3251,16,56,1854,7
2020-08-19,1293,350,305,969,1110,1861,5145,392,2833,3254,16,56,1866,7
2020-08-20,1295,350,306,969,1112,1873,5167,393,2843,3254,16,56,1893,7
2020-08-21,1295,350,307,970,1112,1883,5183,396,2847,3259,16,56,1924,7
2020-08-22,1298,352,308,972,1113,1891,5194,399,2855,3265,16,56,2002,7
2020-08-23,1302,353,309,977,1114,1894,5210,399,2859,3276,16,56,2039,7
2020-08-24,1304,355,309,978,1117,1899,5225,399,2876,3283,16,56,2053,7
2020-08-25,1306,356,309,978,1118,1905,5237,401,2881,3291,16,56,2060,7
2020-08-26,1308,359,310,979,1118,1910,5252,402,2889,3306,16,56,2076,7
2020-08-27,1310,360,311,980,1120,1919,5273,403,2897,3313,16,56,2091,7
2020-08-28,1314,364,312,982,1123,1921,5287,403,2900,3321,16,56,2101,7
2020-08-29,1324,366,312,985,1126,1927,5323,407,2907,3327,16,56,2112,7
2020-08-30,1340,367,313,989,1133,1933,5362,408,2933,3342,16,56,2119,7
2020-08-31,1348,370,313,993,1142,1937,5431,411,2960,3360,17,56,2133,7
2020-09-01,1359,372,314,997,1149,1939,5497,417,2987,3378,17,56,2143,7
2020-09-02,1365,373,314,1000,1156,1942,5583,421,3013,3394,17,56,2147,7
2020-09-03,1371,375,314,1000,1157,1948,5636,432,3028,3397,17,56,2151,7
2020-09-04,1381,378,314,1006,1164,1954,5709,445,3044,3414,17,56,2157,9
2020-09-05,1388,379,315,1006,1178,1956,5777,451,3064,3428,17,56,2165,9
2020-09-06,1399,383,318,1014,1192,1970,5869,457,3094,3446,17,56,2173,9
2020-09-07,1408,384,318,1016,1195,1978,5947,463,3113,3459,17,56,2180,9
2020-09-08,1416,386,322,1018,1203,1983,6038,467,3145,3475,17,56,2184,9
2020-09-09,1425,389,323,1025,1213,1991,6101,470,3164,3504,17,56,2191,9
2020-09-10,1433,393,326,1030,1216,1996,6166,473,3210,3516,17,57,2197,9
2020-09-11,1445,395,326,1033,1223,1998,6246,477,3249,3540,17,57,2199,9
2020-09-12,1449,401,329,1038,1224,2003,6352,481,3297,3575,17,57,2203,9
2020-09-13,1460,413,330,1042,1228,2011,6456,489,3359,3600,17,57,2208,9
2020-09-14,1470,415,331,1044,1230,2017,6483,494,3367,3606,17,57,2209,9
2020-09-15,1483,420,333,1049,1239,2026,6584,501,3426,3659,17,57,2213,9
2020-09-16,1492,424,340,1052,1254,2042,6689,512,3466,3704,17,57,2225,9
2020-09-17,1506,433,341,1063,1263,2055,6801,525,3518,3751,17,57,2233,10
2020-09-18,1514,447,343,1070,1273,2065,6870,535,3547,3781,17,57,2247,10
2020-09-19,1527,460,346,1091,1281,2078,6986,549,3603,3861,19,60,2255,10
2020-09-20,1528,465,350,1114,1293,2098,7046,557,3652,3914,19,60,2265,10
2020-09-21,1535,473,354,1128,1309,2114,7149,559,3699,3944,19,60,2273,10
2020-09-22,1542,473,356,1142,1324,2121,7330,566,3791,3995,19,60,2280,10
2020-09-23,1555,478,360,1165,1336,2140,7554,574,3898,4052,19,60,2294,10
2020-09-24,1567,479,367,1182,1352,2159,7773,594,3964,4125,20,60,2308,10
2020-09-25,1591,487,370,1200,1363,2171,8028,609,4025,4244,20,60,2337,13
2020-09-26,1618,493,379,1246,1379,2196,8318,622,4116,4357,22,60,2413,13
2020-09-27,1638,497,388,1251,1385,2208,8490,630,4174,4397,22,60,2419,17
2020-09-28,1646,501,391,1263,1396,2221,8543,634,4211,4451,22,60,2433,26
2020-09-29,1684,509,399,1299,1420,2275,8845,646,4302,4631,23,60,2483,28
2020-09-30,1703,514,411,1331,1448,2313,9077,653,4375,4791,23,60,2515,30
2020-10-01,1730,515,416,1358,1467,2338,9321,669,4498,4957,23,60,2528,32
2020-10-02,1776,520,429,1381,1492,2362,9645,681,4600,5121,23,60,2558,39
2020-10-03,1810,524,434,1404,1526,2381,9944,700,4752,5264,23,60,2585,44
2020-10-04,1852,530,441,1430,1553,2407,10210,715,4890,5440,23,60,2614,44
2020-10-05,1892,540,446,1452,1589,2431,10452,722,5020,5585,23,60,2647,47
2020-10-06,1932,544,449,1473,1631,2451,10755,728,5187,5749,23,60,2674,50
2020-10-07,1995,549,464,1515,1667,2485,11165,747,5382,5939,23,60,2716,53
2020-10-08,2068,560,471,1537,1701,2525,11570,758,5612,6091,23,60,2758,53
2020-10-09,2152,564,484,1564,1754,2593,12010,772,5918,6283,23,60,2800,56
2020-10-10,2223,567,510,1602,1784,2645,12367,784,6122,6443,24,61,2854,56
2020-10-11,2295,570,547,1634,1829,2684,12663,795,6347,6601,24,62,2890,57
2020-10-12,2383,574,556,1653,1862,2719,13022,807,6591,6713,24,62,2935,58
2020-10-13,2478,585,580,1695,1918,2774,13441,820,6928,6904,24,62,2989,58
2020-10-14,2570,589,595,1743,1976,2816,13978,828,7255,7143,24,63,3047,58
2020-10-15,2681,600,624,1775,2029,2855,14428,842,7629,7304,24,63,3124,58
2020-10-16,2785,605,653,1802,2059,2889,14844,856,7938,7465,26,63,3188,59
2020-10-17,2888,612,663,1829,2099,2927,15279,867,8284,7579,26,63,3221,62
2020-10-18,2926,614,670,1832,2108,2935,15382,874,8382,7614,26,63,3227,62
2020-10-19,2983,619,682,1857,2132,2962,15744,890,8676,7736,26,63,3276,62
2020-10-20,3099,630,698,1903,2177,3016,16244,902,9069,7934,27,64,3339,62
2020-10-21,3204,640,714,1939,2248,3055,16849,921,9589,8164,28,64,3424,64
2020-10-22,3355,646,733,2005,2322,3086,17433,947,10046,8356,29,65,3528,64
2020-10-23,3472,653,750,2053,2359,3103,17926,956,10459,8525,31,65,3599,65
2020-10-24,3646,656,765,2111,2414,3131,18450,970,10780,8691,31,66,3670,68
2020-10-25,3778,661,774,2176,2460,3186,18887,983,11121,8846,31,66,3715,68
2020-10-26,3875,672,793,2217,2504,3218,19315,994,11395,8951,31,66,3775,68
2020-10-27,3971,677,818,2255,2565,3240,19769,1008,11742,9153,31,66,3838,68
2020-10-28,4062,680,831,2291,2605,3268,20220,1026,12034,9305,32,67,3914,68
2020-10-29,4183,690,840,2345,2650,3294,20636,1036,12300,9422,33,67,3966,69
2020-10-30,4268,699,857,2384,2693,3324,21132,1057,12558,9616,33,67,4055,69
2020-10-31,4352,707,872,2434,2730,3366,21506,1068,12875,9737,33,68,4096,69
2020-11-01,4435,717,885,2471,2786,3396,21949,1095,13128,9877,33,68,4152,69
2020-11-02,4511,728,896,2509,2819,3413,22334,1106,13396,9946,33,68,4184,69
2020-11-03,4618,740,906,2551,2841,3443,22712,1118,13603,10074,33,69,4234,69
2020-11-04,4706,750,916,2634,2875,3485,23314,1130,13921,10237,33,70,4304,69
2020-11-05,4786,753,935,2703,2950,3512,23795,1148,14157,10365,33,70,4384,69
2020-11-06,4861,767,958,2750,2979,3536,24255,1165,14367,10477,33,70,4445,69
2020-11-07,4979,785,979,2825,3045,3567,24857,1185,14735,10668,34,70,4530,69
2020-11-08,5080,792,986,2886,3088,3609,25273,1200,14980,10790,34,70,4585,70
2020-11-09,5153,798,997,2936,3108,3635,25636,1206,15199,10897,34,70,4616,70
2020-11-10,5243,806,1003,2969,3147,3655,25929,1215,15370,11011,34,70,4665,70
2020-11-11,5323,812,1015,3038,3203,3706,26417,1224,15642,11156,34,70,4737,71
2020-11-12,5399,831,1033,3114,3234,3760,26891,1241,15873,11297,35,70,4810,72
2020-11-13,5476,841,1046,3262,3314,3810,27324,1254,16140,11460,35,70,4911,74
2020-11-14,5554,848,1053,3344,3373,3885,27724,1268,16358,11580,35,70,4968,75
2020-11-15,5644,867,1060,3412,3443,3937,28183,1277,16584,11688,35,70,5019,75
2020-11-16,5692,881,1068,3454,3506,3970,28403,1288,16720,11789,35,71,5059,75
2020-11-17,5771,888,1074,3516,3586,4015,28842,1297,17002,11942,35,71,5145,75
2020-11-18,5857,896,1077,3600,3648,4062,29262,1311,17314,12083,35,71,5232,75
2020-11-19,5935,910,1087,3665,3689,4124,29611,1322,17527,12266,36,73,5292,75
2020-11-20,6021,921,1092,3725,3745,4179,30002,1328,17689,12389,36,73,5355,75
2020-11-21,6080,933,1104,3777,3789,4215,30236,1334,17935,12529,36,73,5401,75
2020-11-22,6126,942,1109,3821,3815,4263,30545,1339,18116,12648,36,73,5453,75
2020-11-23,6209,950,1114,3881,3849,4306,30915,1346,18306,12743,36,73,5507,75
2020-11-24,6259,956,1115,3929,3893,4355,31162,1357,18462,12851,36,71,5560,75
2020-11-25,6321,962,1123,3969,3917,4477,31422,1371,18652,12945,36,73,5618,75
2020-11-26,6440,968,1129,4046,3984,4551,31805,1384,18887,13113,37,75,5691,76
2020-11-27,6503,973,1137,4106,4027,4624,32120,1391,19088,13234,37,75,5762,78
2020-11-28,6561,979,1141,4165,4072,4674,32341,1410,19254,13356,37,75,5800,78
2020-11-29,6639,980,1143,4212,4112,4721,32570,1422,19413,13434,37,75,5853,78
2020-11-30,6672,983,1143,4240,4120,4758,32703,1426,19461,13482,37,75,5879,78
2020-12-01,6716,994,1147,4300,4178,4801,32939,1433,19629,13565,38,75,5915,81
2020-12-02,6786,1000,1155,4369,4226,4864,33282,1445,19783,13680,38,75,5978,81
2020-12-03,6875,1007,1160,4429,4274,4940,33539,1461,19938,13830,38,76,6071,82
2020-12-04,6944,1014,1167,4492,4321,5008,33797,1559,20104,13947,38,76,6137,82
2020-12-05,7008,1020,1172,4544,4370,5077,34007,1574,20221,14096,38,76,6178,82
2020-12-06,7078,1023,1177,4604,4394,5125,34197,1577,20347,14160,38,76,6228,82
2020-12-07,7134,1029,1182,4656,4446,5190,34375,1584,20450,14274,38,76,6267,82
2020-12-08,7218,1041,1185,4701,4488,5233,34564,1589,20540,14407,38,76,6313,82
2020-12-09,7283,1056,1194,4764,4539,5330,34787,1602,20687,14557,38,76,6377,82
2020-12-10,7364,1067,1200,4855,4619,5393,35002,1613,20843,14715,38,76,6434,86
2020-12-11,7481,1079,1204,4934,4653,5504,35248,1626,20968,14911,38,76,6498,86
2020-12-12,7570,1104,1209,5038,4708,5583,35544,1640,21119,15054,38,76,6601,86
2020-12-13,7650,1118,1211,5110,4736,5663,35723,1657,21235,15193,38,76,6674,86
2020-12-14,7731,1129,1213,5152,4765,5726,35936,1669,21330,15328,38,76,6723,88
2020-12-15,7811,1144,1218,5219,4805,5812,36142,1681,21457,15496,38,76,6761,89
2020-12-16,7902,1162,1223,5263,4836,5893,36251,1697,21549,15636,38,76,6822,90
2020-12-17,7965,1173,1236,5335,4879,5996,36472,1723,21678,15779,38,76,6856,90
2020-12-18,8016,1195,1247,5375,4908,6090,36644,1738,21743,15937,38,76,6943,90
2020-12-19,8081,1205,1248,5413,4939,6136,36764,1750,21864,16040,38,76,6966,91
2020-12-20,8176,1216,1258,5471,4974,6264,37038,1772,21951,16183,38,76,7037,92
2020-12-21,8282,1244,1273,5552,5060,6408,37404,1797,22190,16460,38,77,7173,92
2020-12-22,8382,1267,1298,5633,5100,6580,37825,1819,22331,16676,38,77,7248,92
2020-12-23,8509,1283,1309,5701,5164,6736,38084,1837,22545,16833,38,78,7347,92
2020-12-24,8609,1305,1327,5789,5202,6864,38418,1872,22779,17036,38,80,7459,92
2020-12-25,8700,1333,1341,5844,5244,7014,38718,1906,22930,17239,38,86,7548,94
2020-12-26,8771,1361,1358,5905,5287,7117,39041,1948,23147,17405,39,87,7624,94
2020-12-27,8823,1383,1385,5943,5317,7174,39273,1973,23247,17509,39,89,7675,94
2020-12-28,8885,1398,1393,6007,5358,7262,39525,1990,23402,17661,39,91,7786,94
2020-12-29,9023,1457,1499,6067,5450,7426,40043,2024,23684,17941,39,105,7934,94
2020-12-30,9163,1507,1591,6177,5544,7610,40661,2091,23979,18198,39,112,8064,95
2020-12-31,9388,1586,1705,6278,5622,7870,41341,2172,24351,18577,39,128,8300,96
2021-01-01,9591,1654,1862,6421,5731,8150,42027,2314,24700,18776,39,147,8482,98
2021-01-02,9705,1789,1967,6550,5840,8350,42548,2348,25033,19102,39,148,8603,107
2021-01-03,9925,1858,2137,6656,5936,8518,43234,2442,25373,19389,39,149,8830,107
2021-01-04,10037,1921,2224,6751,6027,8751,43682,2532,25694,19609,39,150,8974,107
2021-01-05,10198,1964,2337,6891,6173,8971,44377,2622,26082,19931,39,151,9184,107
2021-01-06,10392,2013,2413,6980,6261,9177,44980,2705,26378,20095,41,163,9361,107
2021-01-07,10575,2071,2496,7125,6418,9479,45640,2805,26767,20452,41,168,9570,108
2021-01-08,10746,2101,2602,7271,6546,9671,46332,2863,27157,20672,42,170,9742,109
2021-01-09,10856,2145,2646,7376,6635,9870,46819,2960,27462,20909,45,172,9882,112
2021-01-10,10996,2184,2731,7495,6709,10057,47350,3028,27740,21097,45,175,10047,112
2021-01-11,11140,2221,2784,7566,6794,10178,47944,3095,28047,21271,45,175,10176,112
2021-01-12,11302,2266,2855,7667,6877,10314,48551,3152,28327,21485,45,182,10285,115
2021-01-13,11436,2291,2910,7783,6967,10480,49143,3210,28685,21677,45,185,10445,115
2021-01-14,11560,2312,2976,7870,7047,10685,49669,3278,28927,21854,45,185,10548,123
2021-01-15,11729,2347,3044,8004,7185,10847,50305,3359,29266,22116,46,189,10679,123
2021-01-16,11899,2372,3113,8082,7299,11010,50771,3413,29561,22285,48,189,10810,140
2021-01-17,12024,2382,3161,8157,7373,11141,51183,3456,29787,22408,48,192,10881,140
2021-01-18,12140,2411,3199,8218,7443,11254,51634,3477,30031,22586,49,195,10971,154
2021-01-19,12236,2425,3234,8300,7504,11340,51988,3499,30209,22728,51,200,11054,159
2021-01-20,12377,2449,3277,8370,7615,11492,52500,3543,30464,22879,53,203,11198,163
2021-01-21,12493,2473,3334,8436,7720,11596,53010,3585,30792,23061,53,205,11294,167
2021-01-22,12614,2504,3376,8498,7793,11724,53437,3631,31065,23227,56,206,11400,168
2021-01-23,12722,2526,3408,8556,7862,11824,53819,3675,31321,23382,56,208,11479,168
2021-01-24,12808,2547,3448,8600,7934,11950,54182,3709,31549,23493,56,208,11548,169
2021-01-25,12895,2554,3473,8627,7986,11996,54406,3723,31687,23576,57,209,11595,169
2021-01-26,12984,2566,3497,8677,8045,12074,54753,3756,31883,23672,60,210,11655,170
2021-01-27,13094,2586,3543,8730,8129,12167,55147,3798,32128,23807,60,210,11762,171
2021-01-28,13162,2597,3572,8786,8218,12261,55499,3843,32361,23957,61,210,11826,180
